-	YIXIN16	GORO16	SLOWRENJU16	HEWER15	TITO14	SWINE15	CARBON	HGARDEN07	GMOTOR11	PELA16	CHIS	KANEC09	ZETOR16	EULRING	JUDE	LICHT	PECUCHET	NOESIS	IGNITOR	XOXO16	QMENTAT6	PUSKVOREC	IMRO15	PISQ7	FASTGOMOKU14	VALKYRIE	BENJAMIN	STAHLFAUST	FIVEROW	PUREROCKY	CRUSHER	PROLOG	MUSHROOM
FASTGOMOKU14	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	10 : 2	12 : 0	11 : 1	11 : 1	11 : 1	6 : 6	10 : 2	11 : 1	10 : 2	7 : 4	9 : 3	6 : 4	8 : 4	-	3 : 9	0 : 7	4 : 8	6 : 6	4 : 8	1 : 11	1 : 11	0 : 12
VALKYRIE	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	12 : 0	11 : 1	12 : 0	11 : 1	10 : 2	10 : 2	12 : 0	11 : 1	7 : 5	7 : 5	9 : 3	-	1 : 11	8 : 4	3 : 9	2 : 10	4 : 8	2 : 10	0 : 12
BENJAMIN	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	9 : 3	10 : 2	10 : 2	11 : 0	12 : 0	7 : 0	11 : 1	7 : 1	10 : 2	7 : 0	11 : 1	-	4 : 8	3 : 9	2 : 6	1 : 10	0 : 12	1 : 11
STAHLFAUST	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	11 : 1	10 : 2	12 : 0	11 : 1	10 : 2	9 : 3	7 : 5	8 : 4	8 : 4	4 : 8	8 : 4	-	7 : 5	4 : 8	1 : 11	0 : 12	0 : 12
FIVEROW	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	12 : 0	12 : 0	12 : 0	9 : 3	10 : 2	12 : 0	8 : 4	11 : 1	7 : 5	8 : 4	6 : 6	9 : 3	9 : 3	5 : 7	-	4 : 8	6 : 6	5 : 7	4 : 8
PUREROCKY	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	10 : 2	10 : 2	8 : 4	10 : 2	6 : 2	8 : 4	8 : 4	-	4 : 8	2 : 10	1 : 11
CRUSHER	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	10 : 2	11 : 1	12 : 0	11 : 1	8 : 4	10 : 1	11 : 1	6 : 6	8 : 4	-	5 : 7	2 : 10
PROLOG	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	11 : 1	12 : 0	11 : 1	10 : 2	12 : 0	12 : 0	7 : 5	10 : 2	7 : 5	-	3 : 9
MUSHROOM	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	11 : 1	12 : 0	10 : 2	12 : 0	12 : 0	11 : 1	12 : 0	8 : 4	11 : 1	10 : 2	9 : 3	-
Total	370 : 14	359 : 25	321 : 63	340 : 44	333 : 51	319 : 65	315 : 69	311 : 73	276 : 108	285 : 99	259 : 125	246 : 138	220 : 164	214 : 170	201 : 183	196 : 188	182 : 202	164 : 220	164 : 218	174 : 210	139 : 237	136 : 248	124 : 253	116 : 268	104 : 272	87 : 297	69 : 295	83 : 301	70 : 314	53 : 327	38 : 345	26 : 358	17 : 367
Ratio	26.429	14.360	5.095	7.727	6.529	4.908	4.565	4.260	2.556	2.879	2.072	1.783	1.341	1.259	1.098	1.043	0.901	0.745	0.752	0.829	0.586	0.548	0.490	0.433	0.382	0.293	0.234	0.276	0.223	0.162	0.110	0.073	0.046
Points	96	93	86	85	83	81	81	76	72	69	66	61	61	55	51	47	44	44	43	40	36	32	31	28	23	18	18	15	14	9	7	3	0
