-	SWINE2011	TITO2010	H6	HEWER2010	YIXIN2011	PELA	GORO2011	HGARDEN07	ONIX2010	GMOTOR2011	KANEC	AMOEBA2010	PECUCHET	JUDE	NABAMOKU	QMENTAT6	TRUNKAT	FIVEROW	BENJAMIN	PUREGM_2011	PISQ7	AI1000	PUSKVOREC	LEONARDO	CURNPIS	BRAIN-CRUSHER2010	MUSHROOM
BENJAMIN	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	5 : 1	3 : 3	6 : 0	3 : 3	4 : 2	5 : 1	1 : 5	-	4 : 2	4 : 2	2 : 4	5 : 1	2 : 4	0 : 6	1 : 5	0 : 6
PUREGM_2011	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	4 : 2	6 : 0	5 : 1	5 : 1	3 : 3	2 : 4	-	3 : 3	4 : 2	2 : 4	1 : 5	3 : 3	2 : 4	0 : 6
PISQ7	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	4 : 2	4 : 2	5 : 1	4 : 2	2 : 4	3 : 3	-	2 : 4	5 : 1	2 : 4	1 : 5	2 : 4	1 : 5
AI1000	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	4 : 2	2 : 4	4 : 2	2 : 4	4 : 2	-	5 : 1	2 : 4	0 : 6	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	6 : 0	5 : 1	6 : 0	4 : 2	4 : 2	5 : 1	5 : 1	1 : 5	4 : 2	1 : 5	1 : 5	-	3 : 3	3 : 3	1 : 5	0 : 6
LEONARDO	4 : 2	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	3 : 3	6 : 0	6 : 0	5 : 1	3 : 3	4 : 2	5 : 1	4 : 2	4 : 2	3 : 3	-	1 : 5	0 : 6	1 : 5
CURNPIS	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	5 : 1	6 : 0	3 : 3	5 : 1	6 : 0	3 : 3	5 : 1	-	3 : 3	0 : 6
BRAIN-CRUSHER2010	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	4 : 2	6 : 0	5 : 1	6 : 0	3 : 3	-	0 : 6
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	-
TOTAL	133 : 23	135 : 21	130 : 26	125 : 31	126 : 30	124 : 32	124 : 32	119 : 37	110 : 46	114 : 42	99 : 57	92 : 64	69 : 87	68 : 88	65 : 91	62 : 94	57 : 99	54 : 102	48 : 108	42 : 114	41 : 115	39 : 117	46 : 110	42 : 114	21 : 135	16 : 140	5 : 151
RATIO	5.783	6.429	5.000	4.032	4.200	3.875	3.875	3.216	2.391	2.714	1.737	1.438	0.793	0.773	0.714	0.660	0.576	0.529	0.444	0.368	0.357	0.333	0.418	0.368	0.156	0.114	0.033
POINTS	75	72	69	65	61	59	59	57	55	54	48	46	34	34	34	34	30	22	21	19	19	18	17	13	6	4	0
