-	YIXIN2014	GORO2014	HEWER2014	TITO2014	SWINE2014	HGARDEN07	GMOTOR11	PELA	SLOWRENJU2014	KANEC	HIGHFIVE	AMOEBA10	ZETOR	LICHT14	JUDE	PECUCHET	QMENTAT6	PUSKVOREC	PUREGM12	PISQ7	NABAMOKU	FAST-GOMOKU14	VALKYRIE	BENJAMIN	PROLOG	FIVEROW	CRUSHER10	MUSHROOM
PUSKVOREC	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	4 : 2	6 : 0	4 : 2	4 : 2	5 : 1	-	2 : 4	2 : 4	3 : 3	1 : 5	0 : 6	1 : 5	0 : 6	3 : 3	0 : 6	0 : 6
PUREGM12	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	5 : 1	4 : 2	-	3 : 3	3 : 3	3 : 3	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6
PISQ7	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	4 : 2	6 : 0	5 : 1	4 : 2	5 : 1	4 : 2	3 : 3	-	3 : 3	5 : 1	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
NABAMOKU	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	4 : 2	5 : 1	5 : 1	3 : 3	3 : 3	3 : 3	3 : 3	-	4 : 2	3 : 3	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6
FAST-GOMOKU14	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	5 : 1	5 : 1	5 : 1	3 : 3	1 : 5	2 : 4	-	4 : 2	1 : 5	0 : 6	3 : 3	3 : 3	0 : 6
VALKYRIE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	3 : 3	2 : 4	-	1 : 5	3 : 3	3 : 3	2 : 4	2 : 4
BENJAMIN	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	6 : 0	5 : 1	5 : 1	5 : 0	5 : 1	4 : 2	6 : 0	3 : 3	5 : 1	5 : 1	-	0 : 6	4 : 2	0 : 6	0 : 6
PROLOG	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	6 : 0	-	1 : 5	2 : 4	0 : 6
FIVEROW	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	3 : 3	5 : 1	6 : 0	6 : 0	3 : 3	3 : 3	2 : 4	5 : 1	-	4 : 2	1 : 5
CRUSHER10	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	4 : 2	6 : 0	4 : 2	2 : 4	-	0 : 6
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	5 : 1	6 : 0	-
TOTAL	153 : 9	150 : 12	145 : 17	141 : 21	135 : 27	132 : 30	120 : 42	120 : 42	113 : 49	104 : 58	106 : 56	93 : 69	77 : 85	85 : 77	76 : 86	74 : 88	64 : 97	57 : 105	47 : 115	50 : 112	50 : 112	45 : 117	32 : 130	33 : 128	20 : 142	24 : 138	18 : 144	3 : 159
RATIO	17.000	12.500	8.529	6.714	5.000	4.400	2.857	2.857	2.306	1.793	1.893	1.348	0.906	1.104	0.884	0.841	0.660	0.543	0.409	0.446	0.446	0.385	0.246	0.258	0.141	0.174	0.125	0.019
POINTS	79	76	73	73	68	63	61	59	58	55	52	48	43	40	40	37	31	26	21	18	18	18	16	10	10	9	7	0
