-	TRUNK	KRYSA	XMENT	PISQ5	BRUTE	AI620	LEON	AI1000	CURNPIS
TRUNKÁT	-	7 : 3	6 : 4	9 : 1	3 : 1	7 : 3	9 : 1	10 : 0	9 : 1
KRYSA	3 : 7	-	7 : 3	10 : 0	4 : 0	10 : 0	10 : 0	10 : 0	10 : 0
XMENTAT	4 : 6	3 : 7	-	4 : 6	3 : 1	8 : 2	9 : 1	9 : 1	10 : 0
PISQ5	1 : 9	0 : 10	6 : 4	-	4 : 0	1 : 9	9 : 1	7 : 3	8 : 2
BRUTEFOR	1 : 3	0 : 4	1 : 3	0 : 4	-	2 : 2	2 : 2	4 : 0	3 : 1
AI620	3 : 7	0 : 10	2 : 8	9 : 1	2 : 2	-	5 : 5	5 : 5	5 : 5
LEONARDO	1 : 9	0 : 10	1 : 9	1 : 9	2 : 2	5 : 5	-	5 : 5	6 : 4
AI1000	0 : 10	0 : 10	1 : 9	3 : 7	0 : 4	5 : 5	5 : 5	-	9 : 1
CURNPIS	1 : 9	0 : 10	0 : 10	2 : 8	1 : 3	5 : 5	4 : 6	1 : 9	-
