-	YIXIN15	GORO15	HEWER15	TITO2014	HGARDEN07	SWINE15	ACEPELA15	GMOTOR2011	PELA	SLOWRENJU15	KANEC09	LICHT14	AMOEBA10	ZETOR15	JUDE	PECUCHET	QMENTAT6	IMRO15	PUSKVOREC	NABAMOKU	PISQ7	VALKYRIE	BENJAMIN	CRUSHER10	XOXO15	PROLOG	FASTGOMOKU15	PUREGM13	FIVEROW	MUSHROOM
QMENTAT6	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	5 : 3	6 : 2	6 : 2	5 : 3	-	4 : 4	2 : 6	4 : 4	3 : 5	0 : 8	0 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
IMRO15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	6 : 2	8 : 0	6 : 2	8 : 0	0 : 8	3 : 5	4 : 4	-	5 : 3	3 : 5	4 : 4	5 : 3	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8
PUSKVOREC	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	8 : 0	8 : 0	7 : 1	6 : 2	4 : 4	6 : 2	3 : 5	-	6 : 2	3 : 5	1 : 7	3 : 5	0 : 8	1 : 7	1 : 7	1 : 7	2 : 6	1 : 7	0 : 8
NABAMOKU	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	5 : 3	8 : 0	5 : 3	6 : 2	7 : 1	7 : 1	4 : 4	4 : 4	5 : 3	2 : 6	-	6 : 2	3 : 5	3 : 5	0 : 8	0 : 8	3 : 5	0 : 8	0 : 8	1 : 7	1 : 7
PISQ7	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	5 : 3	8 : 0	8 : 0	6 : 2	6 : 2	3 : 5	5 : 3	4 : 4	5 : 3	2 : 6	-	4 : 4	2 : 6	0 : 8	1 : 7	3 : 5	0 : 8	2 : 6	1 : 7	0 : 8
VALKYRIE	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	7 : 1	7 : 1	8 : 0	3 : 5	7 : 1	5 : 3	4 : 4	-	0 : 8	4 : 4	4 : 4	0 : 8	4 : 4	3 : 5	2 : 6	3 : 5
BENJAMIN	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	7 : 1	8 : 0	8 : 0	7 : 1	7 : 0	8 : 0	5 : 3	5 : 3	6 : 2	8 : 0	-	1 : 7	1 : 7	0 : 8	1 : 6	2 : 6	4 : 4	0 : 8
CRUSHER10	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	4 : 4	7 : 1	-	3 : 5	3 : 5	1 : 7	2 : 6	1 : 7	1 : 7
XOXO15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	7 : 1	4 : 4	7 : 1	5 : 3	-	2 : 6	0 : 8	3 : 5	2 : 6	2 : 6
PROLOG	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	7 : 1	8 : 0	7 : 1	7 : 1	5 : 3	5 : 3	8 : 0	8 : 0	5 : 3	6 : 2	-	3 : 5	4 : 4	1 : 7	2 : 6
FASTGOMOKU15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	4 : 4	6 : 1	7 : 1	8 : 0	5 : 3	-	1 : 7	3 : 5	0 : 8
PUREGM13	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	8 : 0	6 : 2	5 : 3	6 : 2	6 : 2	5 : 3	4 : 4	7 : 1	-	2 : 6	1 : 7
FIVEROW	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	7 : 1	6 : 2	4 : 4	7 : 1	6 : 2	7 : 1	5 : 3	6 : 2	-	4 : 4
MUSHROOM	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	5 : 3	8 : 0	7 : 1	6 : 2	6 : 2	8 : 0	7 : 1	4 : 4	-
TOTAL	229 : 3	216 : 16	203 : 29	202 : 30	195 : 37	184 : 48	181 : 51	180 : 52	178 : 54	145 : 87	147 : 85	133 : 99	129 : 103	123 : 109	118 : 114	106 : 126	102 : 129	100 : 132	85 : 147	91 : 141	87 : 145	63 : 169	58 : 172	42 : 190	42 : 190	37 : 195	31 : 200	34 : 198	23 : 209	14 : 218
RATIO	76.333	13.500	7.000	6.733	5.270	3.833	3.549	3.462	3.296	1.667	1.729	1.343	1.252	1.128	1.035	0.841	0.791	0.758	0.578	0.645	0.600	0.373	0.337	0.221	0.221	0.190	0.155	0.172	0.110	0.064
POINTS	87	84	77	76	75	70	69	68	62	60	55	51	47	47	44	38	35	35	34	32	32	22	19	19	16	10	10	7	2	1
