Rank Name                       Elo    +    - games score oppo. draws 
  98 PENTAZEN 2019             1703   20   20  2688   62%  1480    0% 
  99 GORO 2005                 1703   60   56   354   87%  1245    0% 
 100 TITO 2006                 1696   83   77   168   83%  1258    0% 
 101 GORO 2012                 1688   72   73   186   68%  1374    0% 
 102 HEWER 2008                1687   66   63   228   78%  1313    0% 
 103 SWINE 2010                1674   65   62   228   75%  1347    0% 
 104 EMBRYO 2017               1673   24   24  1848   71%  1350    0% 
 105 EGO 2021                  1667   12   12  6816   56%  1579    0% 
 106 SWINE 2008                1658   66   64   234   77%  1288    0% 
 107 PELA 2006                 1641   20   20  2416   68%  1379    0% 
 108 WHOSE 2017                1634   21   21  2208   63%  1428    0% 
 109 GORO 2009                 1634   60   58   276   77%  1306    0% 
 110 HFM 2008                  1614   63   62   228   72%  1319    0% 
 111 SWINE 2007                1613   69   65   210   77%  1288    0% 
 112 EGO 2019                  1609   19   19  2904   59%  1459    0% 
 113 PELA 2023                 1608   10   10  9600   44%  1696    1% 
 114 CARBON HGARDEN2006        1607   76   74   168   77%  1267    0% 
 115 MINTAKA 2026              1605   56   59   336   17%  2169    1% 
 116 ONIX 2007                 1601   84   80   120   71%  1358    0% 
 117 SQUIRREL 2024             1594   11   11  8304   48%  1633    0% 
 118 GMOTOR 2011               1590    7    7 18856   48%  1598    0% 
 119 PELA 2017                 1587    9   10 10776   45%  1623    1% 
 120 SQUIRREL 2023             1585   22   21  2592   57%  1472    0% 
 121 PELA 2016                 1585   38   38   672   51%  1525    1% 
 122 XL                        1576   20   21  2628   16%  2060    0% 
 123 SWINE 2005                1572   51   49   350   76%  1261    0% 
 124 CHIS 2017                 1569    8    8 14424   51%  1557    0% 
 125 XOXO 2018                 1567   26   26  1368   59%  1430    0% 
 126 KANEC 2026                1564   20   20  2976   66%  1341    0% 
 127 SWINE 2004                1562  101   86   182   91%  1077    0% 
 128 GORO 2004                 1556   95   82   196   90%  1084    0% 
 129 SLOWRENJU 2014            1553   53   53   318   57%  1446    0% 
 130 EGO 2018                  1540   24   24  1992   61%  1358    0% 
 131 PELA 2005                 1540   68   65   186   75%  1255    0% 
 132 KANEC 2009                1539    9    9 14544   53%  1499    0% 
 133 SLOWRENJU 2013            1525   60   59   354   72%  1218    0% 
 134 ANGEL 2026                1520   20   20  3000   62%  1349    0% 
 135 SWINE 2009                1520   69   69   180   62%  1356    0% 
 136 XOXO 2017                 1518   28   28  1200   66%  1316    0% 
 137 KANEC 2006                1512   48   48   384   68%  1293    0% 
 138 CHIS 2016                 1510   35   35   888   64%  1319    0% 
 139 HIGHFIVE                  1506   46   45   480   65%  1318    0% 
 140 SLOWRENJU 2015            1502   48   47   440   56%  1413    0% 
 141 GORO 2007                 1500   64   63   210   67%  1298    0% 
 142 HFM 2010                  1487   60   60   228   59%  1361    0% 
 143 ZETOR 2017                1481    8    8 17328   45%  1550    0% 
 144 CARBON HGARDEN2005        1480   75   71   130   68%  1293    0% 
 145 SWINE 2003                1470  146  109   120   94%   973    0% 
 146 HEWER BETA2005            1453   64   63   186   66%  1266    0% 
 147 KANEC 2008                1430   62   63   228   56%  1334    0% 
 148 GMOTOR 2007               1428   32   32   810   60%  1305    0% 
 149 ZETOR 2016                1415   39   38   660   55%  1363    0% 
 150 OLECHKA 2026              1411   36   36   840   51%  1404    0% 
 151 GMOTOR 2005               1385   71   71   130   54%  1341    0% 
 152 EULRING                   1372    8    8 15600   47%  1441    0% 
 153 AMOEBA 2009               1368   57   56   276   66%  1193    0% 
 154 AMOEBA 2010               1366   27   26  1326   56%  1295    0% 
 155 RENJUSOLVER BESTMOVE2004  1363   32   33   710   55%  1304    0% 
 156 ANGEL 2022                1349   13   12  5952   50%  1404    0% 
 157 ZETOR 2015                1344   51   51   360   52%  1330    0% 
 158 PECUCHET                  1323    7    7 17268   47%  1399    0% 
 159 HFM 2009                  1306   71   72   180   43%  1370    0% 
 160 ZETOR 2014                1281   52   52   348   51%  1279    0% 
 161 JUDE                      1278    8    8 15732   46%  1367    0% 
 162 SPARKLE                   1263    9    9 13416   45%  1382    0% 
 163 KANEC 2005                1239   73   76   130   36%  1364    0% 
 164 XOXO 2016                 1234   34   34   744   52%  1234    0% 
 165 HEWER 2004                1221   61   58   196   64%  1108    1% 
 166 MONKEY                    1207    9    8 12072   46%  1322    0% 
 167 ALPHAGOMOKUGS             1192   12   11  7368   41%  1398    0% 
 168 FIGRID 2026               1187   37   37   840   36%  1411    0% 
 169 SPARKLE IGNITOR2016       1184   34   34   744   48%  1237    0% 
 170 SWINE KRYSA2002           1179   40   39   434   69%  1024    1% 
 171 QMENTAT 5                 1179   45   44   326   65%  1071    5% 
 172 HEWER 2003                1178   74   69   130   70%  1011    0% 
 173 DDQKCONQUER 2026          1175   19   19  2688   44%  1311    0% 
 174 PUREROCKY PUREGM2021      1171   10   10  8328   45%  1312    0% 
 175 DJALL 2018                1170    8    8 12984   44%  1321    3% 
 176 LICHT 2014                1167    8    9 13694   44%  1311    0% 
 177 QMENTAT 6                 1165    8    8 15594   43%  1307    1% 
 178 PUREROCKY PUREGM2020      1155   24   23  1680   48%  1248    0% 
 179 PISQ 4                    1124  268  180    16   88%   850    0% 
 180 QMENTAT 1                 1106  124  110    50   76%   880    0% 
 181 TRUNKAT                   1099   20   20  2048   45%  1188    0% 
 182 NOESIS                    1096    8    8 15312   38%  1309    2% 
 183 PUSKVOREC                 1076    8    8 16194   39%  1270    0% 
 184 GMOTOR 2006               1075   81   80   120   38%  1239    0% 
 185 QMENTAT 2                 1060   83   78    80   66%   947    8% 
 186 IMRO 2015                 1059    8    8 15068   38%  1276    2% 
 187 NABAMOKU 2008             1056   20   20  2040   38%  1227    0% 
 188 PUREROCKY PUREGM2012      1033   43   43   444   39%  1201    0% 
 189 PUREROCKY PUREGM2011      1021   56   56   252   41%  1167    0% 
 190 FASTGOMOKU 2014           1017    8    8 15102   35%  1268    2% 
 191 PISQ 3                    1014  205  164    16   75%   850    0% 
 192 PISQ 5                     997   36   36   458   47%  1035    3% 
 193 PISQ 7                     973    8    8 17424   33%  1246    0% 
 194 ZHOUMIAN 2022              965   11   11  7032   33%  1257    0% 
 195 PISQ 6                     952   69   70   120   42%  1031    0% 
 196 DJALL 2017                 947   29   29  1128   31%  1257    2% 
 197 DDQKCONQUER 2022           924   12   12  6144   30%  1250    0% 
 198 IMRO 2013                  912   65   65   144   49%   937    0% 
 199 LEONARDO                   909   19   19  2060   30%  1166    1% 
 200 BRUTEFOR                   905   30   31   644   35%  1060    7% 
 201 NABAMOKU 2007              899   76   81   162   19%  1279    0% 
 202 PUREROCKY PUREGM2009       898   51   53   318   25%  1226    0% 
 203 BENJAMIN                   896   12   12  7712   26%  1283    2% 
 204 TKGOMOKU 2026              875   20   21  2928   21%  1365    1% 
 205 LIGHTBLUE                  868    9    9 12264   28%  1236    1% 
 206 TPTC 2025                  866   15   15  4632   24%  1319    0% 
 207 HRUBASILA                  863  137  148    24   38%   945    0% 
 208 QMENTAT DEEPBLUE2000       863   84   86    74   45%   901    0% 
 209 AI 1000                    862   21   21  1872   25%  1182    2% 
 210 AI 620                     857   55   57   190   30%  1028    3% 
 211 STAHLFAUST                 849    9    9 13008   26%  1246    0% 
 212 VALKYRIE                   829    9    9 13142   25%  1263    0% 
 213 FIVEROW                    822    9    9 13418   25%  1242    0% 
 214 PUREROCKY PUREGM2013       801   41   42   530   24%  1182    0% 
 215 PUREROCKY                  796   20   20  3048   20%  1302    0% 
 216 XOXO 2015                  783   52   53   320   26%  1150    0% 
 217 DOLORES                    775  120  142    56   16%  1164    0% 
 218 CURNPIS                    767   22   23  1976   18%  1179    2% 
 219 CRUSHER 2010               761    9    9 13604   23%  1221    0% 
 220 FIGRID 2025                740   28   29  1944   14%  1347    0% 
 221 FASTGOMOKU 2015            714   54   56   320   20%  1154    1% 
 222 PROLOG                     701   10   10 11558   20%  1215    0% 
 223 PROLOG 36                  656   45   49   840    9%  1342    0% 
 224 MONAS 2026                 633   47   51  1152    6%  1519    0% 
 225 PUREROCKY PUREGM2008       629   94  115   168    7%  1256    0% 
 226 AI 016                     625  112  141    60   13%   957    0% 
 227 AIBB 2020                  565   15   16  5112   16%  1223    0% 
 228 MUSHROOM                   474   15   15  9566    8%  1310    0% 
 229 WHATATEAM                  446   17   17  7392    8%  1327    0% 
